,UTC Datetime,Local Datetime,countlineId,countlineName,Sensor Number,direction,Pedestrian
568,2021-06-17 00:00:00.000,2021-06-17 01:00:00.000,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,in,3694
569,2021-06-17 00:00:00.000,2021-06-17 01:00:00.000,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,out,3206
582,2021-06-18 00:00:00.000,2021-06-18 01:00:00.000,22995,S2_StGeorgesUpperSt_dlr001,S2,in,620
583,2021-06-18 00:00:00.000,2021-06-18 01:00:00.000,22995,S2_StGeorgesUpperSt_dlr001,S2,out,147
584,2021-06-18 00:00:00.000,2021-06-18 01:00:00.000,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,in,2248
585,2021-06-18 00:00:00.000,2021-06-18 01:00:00.000,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,out,2964
586,2021-06-18 00:00:00.000,2021-06-18 01:00:00.000,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,in,4080
587,2021-06-18 00:00:00.000,2021-06-18 01:00:00.000,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,out,3584
600,2021-06-19 00:00:00.000,2021-06-19 01:00:00.000,22995,S2_StGeorgesUpperSt_dlr001,S2,in,632
601,2021-06-19 00:00:00.000,2021-06-19 01:00:00.000,22995,S2_StGeorgesUpperSt_dlr001,S2,out,183
602,2021-06-19 00:00:00.000,2021-06-19 01:00:00.000,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,in,2561
603,2021-06-19 00:00:00.000,2021-06-19 01:00:00.000,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,out,3223
604,2021-06-19 00:00:00.000,2021-06-19 01:00:00.000,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,in,4548
605,2021-06-19 00:00:00.000,2021-06-19 01:00:00.000,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,out,3689
618,2021-06-20 00:00:00.000,2021-06-20 01:00:00.000,22995,S2_StGeorgesUpperSt_dlr001,S2,in,399
619,2021-06-20 00:00:00.000,2021-06-20 01:00:00.000,22995,S2_StGeorgesUpperSt_dlr001,S2,out,86
