,index,UTC Datetime,Local Datetime,countlineId,countlineName,Sensor Number,direction,Pedestrian
220,664,06/22/2021,06/22/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,991
221,665,06/22/2021,06/22/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,826
222,678,06/23/2021,06/23/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,in,113
223,679,06/23/2021,06/23/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,out,50
224,680,06/23/2021,06/23/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,1196
225,681,06/23/2021,06/23/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1174
226,682,06/23/2021,06/23/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,767
227,683,06/23/2021,06/23/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,738
228,696,06/24/2021,06/24/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,in,149
229,697,06/24/2021,06/24/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,out,47
230,698,06/24/2021,06/24/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,1354
231,699,06/24/2021,06/24/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1337
232,700,06/24/2021,06/24/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,884
233,701,06/24/2021,06/24/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,934
234,714,06/25/2021,06/25/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,in,132
235,715,06/25/2021,06/25/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,out,53
236,716,06/25/2021,06/25/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,1315
237,717,06/25/2021,06/25/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1353
238,718,06/25/2021,06/25/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,877
239,719,06/25/2021,06/25/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,821
240,732,06/26/2021,06/26/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,in,182
241,733,06/26/2021,06/26/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,out,55
242,734,06/26/2021,06/26/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,1530
243,735,06/26/2021,06/26/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1432
244,736,06/26/2021,06/26/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,897
245,737,06/26/2021,06/26/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,980
246,750,06/27/2021,06/27/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,in,236
247,751,06/27/2021,06/27/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,out,49
248,752,06/27/2021,06/27/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,1280
249,753,06/27/2021,06/27/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1075
250,754,06/27/2021,06/27/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,1046
251,755,06/27/2021,06/27/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,1011
