,year,month,day,real data,data with prediction for 2023
375,2022,5,27,2493.3333333333335,2493.3333333333335
376,2022,5,28,2577.5,2577.5
377,2022,5,29,1765.1666666666667,1765.1666666666667
378,2022,5,30,1885.5,1885.5
379,2022,5,31,2117.0,2117.0
380,2022,6,1,2309.8333333333335,2309.8333333333335
381,2022,6,2,2223.6666666666665,2223.6666666666665
382,2022,6,3,2784.0,2784.0
383,2022,6,4,2511.8333333333335,2511.8333333333335
384,2022,6,5,1088.6666666666667,1088.6666666666667
385,2022,6,6,1847.0,1847.0
386,2022,6,7,2554.3333333333335,2554.3333333333335
387,2022,6,8,2175.5,2175.5
388,2022,6,9,2262.0,2262.0
389,2022,6,10,2279.3333333333335,2279.3333333333335
390,2022,6,11,2513.0,2513.0
391,2022,6,12,1626.3333333333333,1626.3333333333333
392,2022,6,13,2200.8333333333335,2200.8333333333335
393,2022,6,14,2258.8333333333335,2258.8333333333335
394,2022,6,15,2326.1666666666665,2326.1666666666665
395,2022,6,16,2395.8333333333335,2395.8333333333335
396,2022,6,17,1.6666666666666667,1.6666666666666667
397,2022,6,18,2328.5582242106934,2328.5582242106934
398,2022,6,19,1630.0869651674684,1630.0869651674684
399,2022,6,20,1770.4425805658805,1770.4425805658805
400,2022,6,21,1859.694012303051,1859.694012303051
401,2022,6,22,1875.6826142876607,1875.6826142876607
402,2022,6,23,1993.8911940151468,1993.8911940151468
403,2022,6,24,1938.4012232178302,1938.4012232178302
404,2022,6,25,2012.038151630321,2012.038151630321
405,2022,6,26,1538.3228575719259,1538.3228575719259
406,2022,6,27,1908.177480735186,1908.177480735186
407,2022,6,28,1640.4347959440674,1640.4347959440674
408,2022,6,29,1898.6745970273857,1898.6745970273857
409,2022,6,30,1955.8164608623094,1955.8164608623094
410,2022,7,1,2127.0887580516833,2127.0887580516833
411,2022,7,2,2135.4124321858953,2135.4124321858953
412,2022,7,3,1654.7447934128743,1654.7447934128743
413,2022,7,4,1940.4172567167118,1940.4172567167118
414,2022,7,5,1952.9355156685765,1952.9355156685765
415,2022,7,6,1943.5568727502985,1943.5568727502985
