,Unnamed: 0,index,UTC Datetime,Local Datetime,countlineId,countlineName,Sensor Number,direction,Pedestrian
180,180,546,06/16/2021,06/16/2021 01:00,22995,S2_StGeorgesUpperSt_dlr001,S2,in,286.74911220952794
181,181,547,06/16/2021,06/16/2021 01:00,22995,S2_StGeorgesUpperSt_dlr001,S2,out,160.37055667460876
182,182,548,06/16/2021,06/16/2021 01:00,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,in,2274.9353114704604
183,183,549,06/16/2021,06/16/2021 01:00,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,out,2453.0116657604995
184,184,550,06/16/2021,06/16/2021 01:00,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,in,2626.093315034613
185,185,551,06/16/2021,06/16/2021 01:00,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,out,2169.2278874131525
186,186,564,06/17/2021,06/17/2021 01:00,22995,S2_StGeorgesUpperSt_dlr001,S2,in,395.84069211288875
187,187,565,06/17/2021,06/17/2021 01:00,22995,S2_StGeorgesUpperSt_dlr001,S2,out,158.14410387737158
188,188,566,06/17/2021,06/17/2021 01:00,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,in,2624.163809953253
189,189,567,06/17/2021,06/17/2021 01:00,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,out,2567.279188471903
190,190,568,06/17/2021,06/17/2021 01:00,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,in,2823.0305851952285
191,191,569,06/17/2021,06/17/2021 01:00,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,out,2346.8303443639757
192,192,582,06/18/2021,06/18/2021 01:00,22995,S2_StGeorgesUpperSt_dlr001,S2,in,421.5859485918144
193,193,583,06/18/2021,06/18/2021 01:00,22995,S2_StGeorgesUpperSt_dlr001,S2,out,171.93486392292795
194,194,584,06/18/2021,06/18/2021 01:00,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,in,2295.617003873775
195,195,585,06/18/2021,06/18/2021 01:00,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,out,2474.156375584844
196,196,586,06/18/2021,06/18/2021 01:00,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,in,2979.39342525687
197,197,587,06/18/2021,06/18/2021 01:00,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,out,2388.797795902333
198,198,600,06/19/2021,06/19/2021 01:00,22995,S2_StGeorgesUpperSt_dlr001,S2,in,552.3337015670414
199,199,601,06/19/2021,06/19/2021 01:00,22995,S2_StGeorgesUpperSt_dlr001,S2,out,182.24489546193064
200,200,602,06/19/2021,06/19/2021 01:00,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,in,2503.322715833161
201,201,603,06/19/2021,06/19/2021 01:00,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,out,2837.6959926907543
202,202,604,06/19/2021,06/19/2021 01:00,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,in,3459.7094354853007
203,203,605,06/19/2021,06/19/2021 01:00,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,out,2727.9545228022885
204,204,618,06/20/2021,06/20/2021 01:00,22995,S2_StGeorgesUpperSt_dlr001,S2,in,392.1460860596574
205,205,619,06/20/2021,06/20/2021 01:00,22995,S2_StGeorgesUpperSt_dlr001,S2,out,172.79235869778572
206,206,620,06/20/2021,06/20/2021 01:00,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,in,1845.953596802218
207,207,621,06/20/2021,06/20/2021 01:00,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,out,2098.298758850633
208,208,622,06/20/2021,06/20/2021 01:00,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,in,2388.3875124765727
209,209,623,06/20/2021,06/20/2021 01:00,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,out,1749.3500554086052
210,210,636,06/21/2021,06/21/2021 01:00,22995,S2_StGeorgesUpperSt_dlr001,S2,in,338.35200389981134
211,211,637,06/21/2021,06/21/2021 01:00,22995,S2_StGeorgesUpperSt_dlr001,S2,out,141.80063475546817
